조업일,KPI_ID,관리항목,실적값,원판정,연속판정,연속기준
2024-01-01,KPI_U04_QTY_G01,정제량,1058482.744,정상,정상,2일 연속
2024-01-02,KPI_U04_QTY_G01,정제량,1024618.5663,정상,정상,2일 연속
2024-01-03,KPI_U04_QTY_G01,정제량,1037513.808,정상,정상,2일 연속
2024-01-04,KPI_U04_QTY_G01,정제량,1065309.1411,정상,정상,2일 연속
2024-01-05,KPI_U04_QTY_G01,정제량,1058088.7896,정상,정상,2일 연속
2024-01-06,KPI_U04_QTY_G01,정제량,1052761.4621,정상,정상,2일 연속
2024-01-07,KPI_U04_QTY_G01,정제량,1051303.1244,정상,정상,2일 연속
2024-01-08,KPI_U04_QTY_G01,정제량,1048430.541,정상,정상,2일 연속
2024-01-09,KPI_U04_QTY_G01,정제량,1047843.5306,정상,정상,2일 연속
2024-01-10,KPI_U04_QTY_G01,정제량,1048524.4683,정상,정상,2일 연속
2024-01-11,KPI_U04_QTY_G01,정제량,1064912.6359,정상,정상,2일 연속
2024-01-12,KPI_U04_QTY_G01,정제량,1065929.9046,정상,정상,2일 연속
2024-01-13,KPI_U04_QTY_G01,정제량,1028158.4654,정상,정상,2일 연속
2024-01-14,KPI_U04_QTY_G01,정제량,1045625.5612,정상,정상,2일 연속
2024-01-15,KPI_U04_QTY_G01,정제량,1048711.7606,정상,정상,2일 연속
2024-01-16,KPI_U04_QTY_G01,정제량,1060563.9372,정상,정상,2일 연속
2024-01-17,KPI_U04_QTY_G01,정제량,1062579.8418,정상,정상,2일 연속
2024-01-18,KPI_U04_QTY_G01,정제량,1030958.0851,정상,정상,2일 연속
2024-01-19,KPI_U04_QTY_G01,정제량,1024859.9709,정상,정상,2일 연속
2024-01-20,KPI_U04_QTY_G01,정제량,1044387.8454,정상,정상,2일 연속
2024-01-21,KPI_U04_QTY_G01,정제량,1065068.6794,정상,정상,2일 연속
2024-01-22,KPI_U04_QTY_G01,정제량,1075170.4233,정상,정상,2일 연속
2024-01-23,KPI_U04_QTY_G01,정제량,1076600.0877,정상,정상,2일 연속
2024-01-24,KPI_U04_QTY_G01,정제량,1041593.2941,정상,정상,2일 연속
2024-01-25,KPI_U04_QTY_G01,정제량,1035237.8925,정상,정상,2일 연속
2024-01-26,KPI_U04_QTY_G01,정제량,1063111.1834,정상,정상,2일 연속
2024-01-27,KPI_U04_QTY_G01,정제량,1054677.7026,정상,정상,2일 연속
2024-01-28,KPI_U04_QTY_G01,정제량,1063106.8822,정상,정상,2일 연속
2024-01-29,KPI_U04_QTY_G01,정제량,1052410.4728,정상,정상,2일 연속
2024-01-30,KPI_U04_QTY_G01,정제량,1094510.3358,이상,정상,2일 연속
2024-01-31,KPI_U04_QTY_G01,정제량,1028500.7473,정상,정상,2일 연속
2024-02-01,KPI_U04_QTY_G01,정제량,1050647.3264,정상,정상,2일 연속
2024-02-02,KPI_U04_QTY_G01,정제량,1048564.9604,정상,정상,2일 연속
